Code|Level_2|Fonte
B01D  53/40|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/42|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/44|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/46|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/48|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/485|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/50|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/501|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/502|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/504|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/505|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/507|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/508|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/52|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/523|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/526|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/54|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/56|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/565|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/58|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
